date,lad19cd,variable,value
2020-09-04,E06000001,tier_2,0.0
2020-09-04,E06000002,tier_2,0.0
2020-09-04,E06000003,tier_2,0.0
2020-09-04,E06000004,tier_2,0.0
2020-09-04,E06000005,tier_2,0.0
2020-09-04,E06000006,tier_2,0.0
2020-09-04,E06000007,tier_2,0.0
2020-09-04,E06000008,tier_2,0.0
2020-09-04,E06000009,tier_2,0.0
2020-09-04,E06000010,tier_2,0.0
2020-09-04,E06000011,tier_2,0.0
2020-09-04,E06000012,tier_2,0.0
2020-09-04,E06000013,tier_2,0.0
2020-09-04,E06000014,tier_2,0.0
2020-09-04,E06000015,tier_2,0.0
2020-09-04,E06000016,tier_2,0.0
2020-09-04,E06000017,tier_2,0.0
2020-09-04,E06000018,tier_2,0.0
2020-09-04,E06000019,tier_2,0.0
2020-09-04,E06000020,tier_2,0.0
2020-09-04,E06000021,tier_2,0.0
2020-09-04,E06000022,tier_2,0.0
2020-09-04,E06000023,tier_2,0.0
2020-09-04,E06000024,tier_2,0.0
2020-09-04,E06000025,tier_2,0.0
2020-09-04,E06000026,tier_2,0.0
2020-09-04,E06000027,tier_2,0.0
2020-09-04,E06000030,tier_2,0.0
2020-09-04,E06000031,tier_2,0.0
2020-09-04,E06000032,tier_2,0.0
2020-09-04,E06000033,tier_2,0.0
2020-09-04,E06000034,tier_2,0.0
2020-09-04,E06000035,tier_2,0.0
2020-09-04,E06000036,tier_2,0.0
2020-09-04,E06000037,tier_2,0.0
2020-09-04,E06000038,tier_2,0.0
2020-09-04,E06000039,tier_2,0.0
2020-09-04,E06000040,tier_2,0.0
2020-09-04,E06000041,tier_2,0.0
2020-09-04,E06000042,tier_2,0.0
2020-09-04,E06000043,tier_2,0.0
2020-09-04,E06000044,tier_2,0.0
2020-09-04,E06000045,tier_2,0.0
2020-09-04,E06000046,tier_2,0.0
2020-09-04,E06000047,tier_2,0.0
2020-09-04,E06000049,tier_2,0.0
2020-09-04,E06000050,tier_2,0.0
2020-09-04,E06000051,tier_2,0.0
2020-09-04,"E06000052,E06000053",tier_2,0.0
2020-09-04,E06000054,tier_2,0.0
2020-09-04,E06000055,tier_2,0.0
2020-09-04,E06000056,tier_2,0.0
2020-09-04,E06000057,tier_2,0.0
2020-09-04,E06000058,tier_2,0.0
2020-09-04,E06000059,tier_2,0.0
2020-09-04,E07000004,tier_2,0.0
2020-09-04,E07000005,tier_2,0.0
2020-09-04,E07000006,tier_2,0.0
2020-09-04,E07000007,tier_2,0.0
2020-09-04,E07000008,tier_2,0.0
2020-09-04,E07000009,tier_2,0.0
